date,close,苹果：批发市场：交易数量（周）,苹果：批发市场：日均交易量（周）,苹果：冷库：出货量：中国（周）,苹果：冷库：库存：中国（周）
"2018-08-10","11179","","","16.4938","105.555"
"2018-08-13","11285","","","",""
"2018-08-14","11440","","","",""
"2018-08-15","11394","","","",""
"2018-08-16","11446","","","",""
"2018-08-17","11969","","","17.197","88.358"
"2018-08-20","11879","","","",""
"2018-08-21","11910","","","",""
"2018-08-22","11864","","","",""
"2018-08-23","11306","","","",""
"2018-08-24","11455","","","15.49","72.868"
"2018-08-27","11850","","","",""
"2018-08-28","11916","","","",""
"2018-08-29","11910","","","",""
"2018-08-30","11823","","","",""
"2018-08-31","11929","","","21.2843","51.5837"
"2018-09-03","11731","","","",""
"2018-09-04","11580","","","",""
"2018-09-05","11527","","","",""
"2018-09-06","11676","","","",""
"2018-09-07","11703","","","13.2124","38.3713"
"2018-09-10","11938","","","",""
"2018-09-11","11849","","","",""
"2018-09-12","11898","","","",""
"2018-09-13","11770","","","",""
"2018-09-14","11831","","","14.78","23.5913"
"2018-09-17","11738","","","",""
"2018-09-18","11822","","","",""
"2018-09-19","12190","","","",""
"2018-09-20","12252","","","",""
"2018-09-21","12255","","","13.3172","10.2741"
"2018-09-25","11846","","","",""
"2018-09-26","11927","","","",""
"2018-09-27","11610","","","",""
"2018-09-28","11784","","","10.2741",""
"2018-10-08","11673","","","",""
"2018-10-09","11699","","","",""
"2018-10-10","11783","","","",""
"2018-10-11","11681","","","",""
"2018-10-12","11642","","","",""
"2018-10-15","11185","","","",""
"2018-10-16","11051","","","",""
"2018-10-17","11174","","","",""
"2018-10-18","11073","","","",""
"2018-10-19","10686","","","",""
"2018-10-22","10777","","","",""
"2018-10-23","10741","","","",""
"2018-10-24","10851","","","",""
"2018-10-25","10834","","","",""
"2018-10-26","11232","","","",""
"2018-10-29","11190","","","",""
"2018-10-30","11342","","","",""
"2018-10-31","11306","","","",""
"2018-11-01","11126","","","",""
"2018-11-02","11227","","","",""
"2018-11-05","11170","","","",""
"2018-11-06","11558","","","",""
"2018-11-07","11498","","","",""
"2018-11-08","11549","","","",""
"2018-11-09","11559","","","",""
"2018-11-12","11423","","","",""
"2018-11-13","11313","","","",""
"2018-11-14","11402","","","",""
"2018-11-15","12335","","","",""
"2018-11-16","12528","","","",""
"2018-11-19","12394","","","",""
"2018-11-20","12380","","","",""
"2018-11-21","12521","","","",""
"2018-11-22","12347","","","",""
"2018-11-23","12371","","","","605.96"
"2018-11-26","12125","","","",""
"2018-11-27","11813","","","",""
"2018-11-28","11701","","","",""
"2018-11-29","11360","","","",""
"2018-11-30","11530","","","1.16","604.8"
"2018-12-03","11505","","","",""
"2018-12-04","11697","","","",""
"2018-12-05","11818","","","",""
"2018-12-06","11700","","","",""
"2018-12-07","11937","","","1.43","603.37"
"2018-12-10","11849","","","",""
"2018-12-11","11807","","","",""
"2018-12-12","11792","","","",""
"2018-12-13","11603","","","",""
"2018-12-14","11571","","","1.11","602.26"
"2018-12-17","11739","","","",""
"2018-12-18","11671","","","",""
"2018-12-19","11209","","","",""
"2018-12-20","11237","","","",""
"2018-12-21","11339","","","4.96","597.3"
"2018-12-24","11280","","","",""
"2018-12-25","11327","","","",""
"2018-12-26","11318","","","",""
"2018-12-27","11285","","","",""
"2018-12-28","11352","","","35.68","561.62"
"2019-01-02","10888","","","",""
"2019-01-03","10671","","","",""
"2019-01-04","10768","","","16.22","545.4"
"2019-01-07","10615","","","",""
"2019-01-08","10701","","","",""
"2019-01-09","10652","","","",""
"2019-01-10","10634","","","",""
"2019-01-11","10616","","","","521.45"
"2019-01-14","10690","","","",""
"2019-01-15","10712","","","",""
"2019-01-16","10660","","","",""
"2019-01-17","10658","","","",""
"2019-01-18","10572","","","46.27","475.17"
"2019-01-21","10749","","","",""
"2019-01-22","10696","","","",""
"2019-01-23","10719","","","",""
"2019-01-24","10814","","","",""
"2019-01-25","11080","","","47.67","427.5"
"2019-01-28","11079","","","",""
"2019-01-29","10905","","","",""
"2019-01-30","10893","","","",""
"2019-01-31","10906","","","",""
"2019-02-01","10901","","","16.23","411.26"
"2019-02-08","","","","4.23","407.02"
"2019-02-11","11199","","","",""
"2019-02-12","11235","","","",""
"2019-02-13","11188","","","",""
"2019-02-14","11214","","","",""
"2019-02-15","11274","","","7.94","399.08"
"2019-02-18","11231","","","",""
"2019-02-19","11289","","","",""
"2019-02-20","11271","","","",""
"2019-02-21","11299","","","",""
"2019-02-22","11430","","","28.94","370.14"
"2019-02-25","11410","","","",""
"2019-02-26","11366","","","",""
"2019-02-27","11018","","","",""
"2019-02-28","11017","","","",""
"2019-03-01","11077","","","27","343.14"
"2019-03-04","11035","","","",""
"2019-03-05","11143","","","",""
"2019-03-06","11318","","","",""
"2019-03-07","11348","","","",""
"2019-03-08","11345","","","14.11","329.02"
"2019-03-11","11216","","","",""
"2019-03-12","11255","","","",""
"2019-03-13","11225","","","",""
"2019-03-14","11200","","","",""
"2019-03-15","11245","","","14.11","314.9"
"2019-03-18","11388","","","",""
"2019-03-19","11421","","","",""
"2019-03-20","11335","","","",""
"2019-03-21","11355","","","",""
"2019-03-22","11265","","","15.17","299.74"
"2019-03-25","11271","","","",""
"2019-03-26","11275","","","",""
"2019-03-27","11390","","","",""
"2019-03-28","11374","","","",""
"2019-03-29","11618","","","23.29","276.45"
"2019-04-01","11606","","","",""
"2019-04-02","11587","","","",""
"2019-04-03","11732","","","",""
"2019-04-04","11622","","","",""
"2019-04-05","","","","18.7","257.74"
"2019-04-08","11724","","","",""
"2019-04-09","11876","","","",""
"2019-04-10","11900","","","",""
"2019-04-11","11908","","","",""
"2019-04-12","11825","","","12.89","244.85"
"2019-04-15","7691","","","",""
"2019-04-16","8010","","","",""
"2019-04-17","8101","","","",""
"2019-04-18","8013","","","",""
"2019-04-19","8286","","","13.95","230.9"
"2019-04-22","8269","","","",""
"2019-04-23","8211","","","",""
"2019-04-24","8220","","","",""
"2019-04-25","8216","","","",""
"2019-04-26","8117","","","9.7","221.19"
"2019-04-29","8160","","","",""
"2019-04-30","8126","","","",""
"2019-05-03","","","","11.83","209.35"
"2019-05-06","8177","","","",""
"2019-05-07","8229","","","",""
"2019-05-08","8302","","","",""
"2019-05-09","8511","","","",""
"2019-05-10","8562","","","12.36","196.99"
"2019-05-13","8862","","","",""
"2019-05-14","8723","","","",""
"2019-05-15","9218","","","",""
"2019-05-16","9274","","","",""
"2019-05-17","9395","","","13.95","183.04"
"2019-05-20","9689","","","",""
"2019-05-21","9703","","","",""
"2019-05-22","9869","","","",""
"2019-05-23","9841","","","",""
"2019-05-24","10159","","","12.54","170.5"
"2019-05-27","9703","","","",""
"2019-05-28","9528","","","",""
"2019-05-29","9611","","","",""
"2019-05-30","9721","","","",""
"2019-05-31","9681","","","12.54","157.95"
"2019-06-03","9428","","","",""
"2019-06-04","9517","","","",""
"2019-06-05","9480","","","",""
"2019-06-06","9057","","","",""
"2019-06-07","","","","8.65","149.3"
"2019-06-10","9000","","","",""
"2019-06-11","9128","","","",""
"2019-06-12","9036","","","",""
"2019-06-13","9280","","","",""
"2019-06-14","9145","","","24.22","125.08"
"2019-06-17","9137","","","",""
"2019-06-18","8944","","","",""
"2019-06-19","8991","","","",""
"2019-06-20","8880","","","",""
"2019-06-21","9112","","","5.56","119.51"
"2019-06-24","9128","","","",""
"2019-06-25","9117","","","",""
"2019-06-26","9103","","","",""
"2019-06-27","9259","","","",""
"2019-06-28","9120","","","6.02","113.49"
"2019-07-01","9089","","","",""
"2019-07-02","9130","","","",""
"2019-07-03","9059","","","",""
"2019-07-04","9245","","","",""
"2019-07-05","9297","","","4.48","109.01"
"2019-07-08","9644","","","",""
"2019-07-09","9669","","","",""
"2019-07-10","9612","","","",""
"2019-07-11","9603","","","",""
"2019-07-12","9690","","","4.48","104.53"
"2019-07-15","9645","","","",""
"2019-07-16","9727","","","",""
"2019-07-17","9652","","","",""
"2019-07-18","9602","","","",""
"2019-07-19","9637","","","5.1","99.43"
"2019-07-22","9518","","","",""
"2019-07-23","9215","","","",""
"2019-07-24","9234","","","",""
