date,close,苹果：批发市场：交易数量（周）,苹果：批发市场：日均交易量（周）,苹果：冷库：出货量：中国（周）,苹果：冷库：库存：中国（周）
"2019-07-25","9214","","","",""
"2019-07-26","9264","","","4.01","95.41"
"2019-07-29","9246","","","",""
"2019-07-30","9337","","","",""
"2019-07-31","9318","","","",""
"2019-08-01","9216","","","",""
"2019-08-02","9338","","","14.17","81.23"
"2019-08-05","9136","","","",""
"2019-08-06","9400","","","",""
"2019-08-07","9228","","","",""
"2019-08-08","9222","","","",""
"2019-08-09","9123","","","2.61","78.62"
"2019-08-12","9089","","","",""
"2019-08-13","8931","","","",""
"2019-08-14","8975","","","",""
"2019-08-15","9034","","","",""
"2019-08-16","9034","","","7.42","71.2"
"2019-08-19","9070","","","",""
"2019-08-20","9062","","","",""
"2019-08-21","9095","","","",""
"2019-08-22","9062","","","",""
"2019-08-23","9133","","","7.69","63.5"
"2019-08-26","9122","","","",""
"2019-08-27","9328","","","",""
"2019-08-28","9323","","","",""
"2019-08-29","9394","","","",""
"2019-08-30","9468","21389.8","3055.686","7.01","56.5"
"2019-09-02","9288","","","",""
"2019-09-03","9321","","","",""
"2019-09-04","9175","","","",""
"2019-09-05","8914","","","",""
"2019-09-06","8893","26490.81","3784.4","7.01","49.48"
"2019-09-09","8510","","","",""
"2019-09-10","8533","","","",""
"2019-09-11","8475","","","",""
"2019-09-12","8267","","","",""
"2019-09-13","","27779.7","3968.529","12.92","36.56"
"2019-09-16","8294","","","",""
"2019-09-17","8314","","","",""
"2019-09-18","8400","","","",""
"2019-09-19","7877","","","",""
"2019-09-20","7750","22149.38","3164.197","7.28","29.28"
"2019-09-23","7545","","","",""
"2019-09-24","7582","","","",""
"2019-09-25","7618","","","",""
"2019-09-26","7640","","","",""
"2019-09-27","7531","26987.54","3855.363","4.12","25.16"
"2019-09-30","7400","","","",""
"2019-10-04","","25844.69","3692.099","",""
"2019-10-08","7772","","","",""
"2019-10-09","7636","","","",""
"2019-10-10","7660","","","",""
"2019-10-11","7556","29292.91","4184.701","",""
"2019-10-14","7701","","","",""
"2019-10-15","7686","","","",""
"2019-10-16","7697","","","",""
"2019-10-17","7630","","","",""
"2019-10-18","7673","33806.29","4829.47","",""
"2019-10-21","7850","","","",""
"2019-10-22","7876","","","",""
"2019-10-23","7999","","","",""
"2019-10-24","8013","","","",""
"2019-10-25","7903","37613.91","5373.416","",""
"2019-10-28","7919","","","",""
"2019-10-29","7978","","","",""
"2019-10-30","7992","","","",""
"2019-10-31","7961","","","",""
"2019-11-01","7925","31161.66","4451.666","","732.56"
"2019-11-04","8030","","","",""
"2019-11-05","8158","","","",""
"2019-11-06","8146","","","",""
"2019-11-07","8199","","","",""
"2019-11-08","8169","38875.35","5553.621","-147","970.52"
"2019-11-11","8109","","","",""
"2019-11-12","8219","","","",""
"2019-11-13","8215","","","",""
"2019-11-14","8062","","","",""
"2019-11-15","8141","39227.21","5603.887","-65.18","1035.7"
"2019-11-18","7923","","","",""
"2019-11-19","7973","","","",""
"2019-11-20","8204","","","",""
"2019-11-21","8181","","","",""
"2019-11-22","8197","45652.51","6521.787","-14.19","1049.89"
"2019-11-25","8164","","","",""
"2019-11-26","8155","","","",""
"2019-11-27","8026","","","",""
"2019-11-28","8070","","","",""
"2019-11-29","8055","44105.31","6300.759","-1.08","1050.98"
"2019-12-02","8221","","","",""
"2019-12-03","8289","","","",""
"2019-12-04","8403","","","",""
"2019-12-05","8388","","","",""
"2019-12-06","8426","41631.08","5947.297","6.43","1044.55"
"2019-12-09","8386","","","",""
"2019-12-10","8497","","","",""
"2019-12-11","8515","","","",""
"2019-12-12","8484","","","",""
"2019-12-13","8588","43993.87","5284.839","7.28","1048.83"
"2019-12-16","8645","","","",""
"2019-12-17","8563","","","",""
"2019-12-18","8095","","","",""
"2019-12-19","8110","","","",""
"2019-12-20","8096","47740.64","6820.091","14.53","1034.29"
"2019-12-23","8060","","","",""
"2019-12-24","8013","","","",""
"2019-12-25","8021","","","",""
"2019-12-26","8122","","","",""
"2019-12-27","8017","50252.47","7178.924","13.27","1021.02"
"2019-12-30","7760","","","",""
"2019-12-31","7738","","","",""
"2020-01-02","7741","","","",""
"2020-01-03","7589","36246.53","5178.076","15.25","1005.77"
"2020-01-06","7474","","","",""
"2020-01-07","7501","","","",""
"2020-01-08","7497","","","",""
"2020-01-09","7360","","","",""
"2020-01-10","7447","57490.11","8212.873","8.34","997.42"
"2020-01-13","7289","","","",""
"2020-01-14","7302","","","",""
"2020-01-15","7325","","","",""
"2020-01-16","7351","","","",""
"2020-01-17","7469","67523.22","9646.174","17.62","979.8"
"2020-01-20","7421","","","",""
"2020-01-21","7339","","","",""
"2020-01-22","7361","","","",""
"2020-01-23","7420","","","",""
"2020-01-24","","39677.62","5668.231","17.78","962.01"
"2020-01-31","","19522.87","2788.981","13.08","948.92"
"2020-02-03","6874","","","",""
"2020-02-04","7002","","","",""
"2020-02-05","7011","","","",""
"2020-02-06","7010","","","",""
"2020-02-07","7026","26347.81","3763.973","64.39","884.53"
"2020-02-10","7008","","","",""
"2020-02-11","7004","","","",""
"2020-02-12","6990","","","",""
"2020-02-13","6933","","","",""
"2020-02-14","6866","28344.8","4049.257","18.18","866.35"
"2020-02-17","6993","","","",""
"2020-02-18","6982","","","",""
"2020-02-19","6997","","","",""
"2020-02-20","7252","","","",""
"2020-02-21","7277","30123.26","4303.323","13.2","853.14"
"2020-02-24","7277","","","",""
"2020-02-25","7283","","","",""
"2020-02-26","7126","","","",""
"2020-02-27","6872","","","",""
"2020-02-28","6763","37428.26","5346.894","19.71","833.42"
"2020-03-02","6837","","","",""
"2020-03-03","6823","","","",""
"2020-03-04","6843","","","",""
"2020-03-05","6824","","","",""
"2020-03-06","6783","38946.01","5563.716","16.8","816.62"
"2020-03-09","6838","","","",""
"2020-03-10","6798","","","",""
"2020-03-11","6783","","","",""
"2020-03-12","6635","","","",""
"2020-03-13","6501","38137.31","5448.187","36.67","779.94"
"2020-03-16","6740","","","",""
"2020-03-17","6731","","","",""
"2020-03-18","6534","","","",""
"2020-03-19","6477","","","",""
"2020-03-20","6570","35120.41","5017.201","34.44","745.5"
"2020-03-23","6553","","","",""
"2020-03-24","6540","","","",""
"2020-03-25","6488","","","",""
"2020-03-26","6630","","","",""
"2020-03-27","6664","39101.16","5585.88","48.58","696.91"
"2020-03-30","6486","","","",""
"2020-03-31","6700","","","",""
"2020-04-01","6573","","","",""
"2020-04-02","6684","","","",""
"2020-04-03","6601","34620.41","4945.773","51.6","645.31"
"2020-04-07","6684","","","",""
"2020-04-08","6744","","","",""
"2020-04-09","6740","","","",""
"2020-04-10","6720","48253.36","6893.337","42.82","602.49"
"2020-04-13","8285","","","",""
"2020-04-14","8327","","","",""
"2020-04-15","8234","","","",""
"2020-04-16","7982","","","",""
"2020-04-17","7963","46911.66","6701.666","36.9","565.58"
"2020-04-20","7980","","","",""
"2020-04-21","7789","","","",""
"2020-04-22","8226","","","",""
"2020-04-23","8167","","","",""
"2020-04-24","8663","49101.88","7014.554","36.06","529.52"
"2020-04-27","9161","","","",""
"2020-04-28","9035","","","",""
"2020-04-29","9026","","","",""
"2020-04-30","8994","","","",""
"2020-05-01","","49274.16","7039.166","42.83","486.68"
"2020-05-06","9071","","","",""
"2020-05-07","9090","","","",""
"2020-05-08","9070","46978.51","6711.216","39.78","446.9"
"2020-05-11","9338","","","",""
"2020-05-12","9282","","","",""
"2020-05-13","9146","","","",""
"2020-05-14","9034","","","",""
"2020-05-15","9065","45652.51","6521.787","32.16","414.73"
"2020-05-18","9046","","","",""
"2020-05-19","9137","","","",""
"2020-05-20","9026","","","",""
"2020-05-21","8898","","","",""
"2020-05-22","8985","44105.31","6300.759","24.88","389.85"
"2020-05-25","8963","","","",""
"2020-05-26","8883","","","",""
"2020-05-27","8890","","","",""
"2020-05-28","8734","","","",""
"2020-05-29","8773","40010.51","5715.787","26.8","363.04"
"2020-06-01","8702","","","",""
"2020-06-02","8816","","","",""
"2020-06-03","8712","","","",""
"2020-06-04","8653","","","",""
"2020-06-05","8624","39101.16","5585.88","14.68","348.35"
"2020-06-08","8546","","","",""
"2020-06-09","8472","","","",""
"2020-06-10","8262","","","",""
"2020-06-11","8293","","","",""
"2020-06-12","8363","34620.41","4945.773","13.52","334.83"
"2020-06-15","8240","","","",""
"2020-06-16","8259","","","",""
"2020-06-17","8288","","","",""
"2020-06-18","8264","","","",""
"2020-06-19","8062","26714.75","3816.393","14.35","320.48"
"2020-06-22","7968","","","",""
"2020-06-23","7982","","","",""
"2020-06-24","7895","","","",""
"2020-06-26","","22852.61","3264.659","23.7","296.78"
