date,close,煤炭：国有重点煤矿企业：产量：中国（旬）,原煤：大型煤炭企业：产量累计值（月）,原煤：大型煤炭企业：产量累计同比（月）,洗精煤：大型煤炭企业：产量累计值：中国（月）,洗精煤：大型煤炭企业：产量累计同比：中国（月）,煤矿：国有重点煤矿企业：产量：中国（月）,统计局：中国：工业产品：产量：原煤（月）,煤炭：国有重点煤矿企业：销售数合计：中国（旬）,煤炭：国有重点煤矿企业：销售数合计：中国（月）,煤炭：销量：中国（月）,煤炭：重点发电企业：供应量：中国（旬）,煤炭：重点发电企业：消费量：中国（旬）,煤炭：国有重点煤矿企业：库存：中国（旬）,煤炭：重点发电企业：库存平均可用天数：中国（旬）,煤炭：重点发电企业：库存：中国（旬）,煤炭：重点发电企业：库存同期增减：中国（月）,样本洗煤厂（110家）：精煤：库存：中国（周）,样本洗煤厂（110家）：煤炭：开工率：中国（周）,样本洗煤厂（110家）：精煤：日均产量：中国（周）,样本洗煤厂（110家）：原煤：库存：中国（周）,炼焦煤：进口：港口库存（周）,230家独立焦化厂：炼焦煤：库存：中国（周）,炼焦煤：247家钢厂样本焦化厂：库存：中国（周）,炼焦煤：矿山企业库存：中国（周）,炼焦煤：独立焦化企业：库存：中国（周）,炼焦煤：独立焦化企业：平均可用天数：中国（周）
"2017-09-21","1219","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-09-22","1210.5","","","","","","","","","","","","","","","","","","","","","176.44","1595.98","1066.94","109.49","",""
"2017-09-25","1175","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-09-26","1161.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-09-27","1173.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-09-28","1124","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-09-29","1133.5","","","","","","","","","","","","","","","","","","","","","174.3","1609.18","1105.83","88.8","",""
"2017-09-30","","","182250","8.3","62293.5","5.1","14504.33","29811.9","","13133.71","28200","10590","9900","","18","6219","","","","","","","","","","",""
"2017-10-06","","","","","","","","","","","","","","","","","","","","","","168.7","1561.84","1119.6","","",""
"2017-10-09","1091","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-10-10","1077.5","2795","","","","","","","2197","","","","","1489","","","","","","","","","","","","",""
"2017-10-11","1085","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-10-12","1142","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-10-13","1196.5","","","","","","","","","","","","","","","","","","","","","188.7","1502.58","1116.14","135.47","",""
