date,close,苯乙烯：表观消费量环比：中国（月）,苯乙烯：表观消费量同比：中国（月）,苯乙烯：产量同比：中国（周）,苯乙烯：产量：中国（周）,苯乙烯：检修减损量：中国（月）,苯乙烯：开工率：中国（日）,苯乙烯：产能：中国（日）,苯乙烯：产能：中国企业（月）,苯乙烯：表观消费量：中国（月）,苯乙烯：中国企业：产量：新口径（月）,苯乙烯：样本工厂：库存：中国（周）
"2020-04-05","","","","","","","67.33","34206","","","",""
"2020-04-06","","","","","","","67.04","34206","","","",""
"2020-04-07","4940","","","","","","65.54","34206","","","",""
"2020-04-08","4999","","","","","","65.54","34206","","","",""
"2020-04-09","5392","","","","","","65.67","34206","","","",""
"2020-04-10","5299","","","-5.23","159234.28","","65.68","34206","","","","191699"
"2020-04-11","","","","","","","65.68","34206","","","",""
"2020-04-12","","","","","","","65.68","34206","","","",""
"2020-04-13","5362","","","","","","64.93","34206","","","",""
"2020-04-14","5220","","","","","","64.93","34206","","","",""
"2020-04-15","5414","","","","","","62.65","34206","","","",""
"2020-04-16","5426","","","","","","62.95","34206","","","",""
"2020-04-17","5526","","","-4.2","154786.48","","62.51","34206","","","","184050"
"2020-04-18","","","","","","","62.51","34206","","","",""
"2020-04-19","","","","","","","62.8","34206","","","",""
"2020-04-20","5548","","","","","","64.12","34206","","","",""
"2020-04-21","5200","","","","","","66.66","34206","","","",""
"2020-04-22","4819","","","","","","68.76","34206","","","",""
"2020-04-23","5305","","","","","","70.87","34206","","","",""
"2020-04-24","5301","","","-1.58","156731.48","","77.34","34206","","","","157218"
"2020-04-25","","","","","","","78.89","34206","","","",""
"2020-04-26","","","","","","","78.89","34206","","","",""
"2020-04-27","5326","","","","","","79.5","34206","","","",""
"2020-04-28","5354","","","","","","79.85","34206","","","",""
"2020-04-29","5456","","","","","","79.85","34206","","","",""
"2020-04-30","5530","","3.75","","","","80.73","34206","1026180","94.5399985","706666.95",""
"2020-05-01","","","","13.88","189865.63","","80.76","34206","","","","152110"
"2020-05-02","","","","","","","81.2","34206","","","",""
"2020-05-03","","","","","","","81.2","34206","","","",""
"2020-05-04","","","","","","","81.2","34206","","","",""
"2020-05-05","","","","","","","80.35","34206","","","",""
"2020-05-06","5725","","","","","","80.76","34206","","","",""
"2020-05-07","5528","","","","","","80.76","34206","","","",""
"2020-05-08","5535","","","14.38","193682.9","","81.34","34206","","","","168173"
"2020-05-09","","","","","","","81.34","34206","","","",""
"2020-05-10","","","","","","","81.45","34206","","","",""
"2020-05-11","5446","","","","","","81.45","34206","","","",""
"2020-05-12","5452","","","","","","81.45","34206","","","",""
"2020-05-13","5484","","","","","","83.79","34206","","","",""
"2020-05-14","5508","","","","","","82.92","34206","","","",""
"2020-05-15","5588","","","15.4","196255.26","","83.5","34206","","","","179056"
"2020-05-16","","","","","","","83.5","34206","","","",""
"2020-05-17","","","","","","","83.5","34206","","","",""
"2020-05-18","5731","","","","","","83.65","34206","","","",""
"2020-05-19","5740","","","","","","83.65","34206","","","",""
"2020-05-20","5780","","","","","","84.09","34206","","","",""
"2020-05-21","5771","","","","","","84.67","34206","","","",""
"2020-05-22","5607","","","18.26","200635.26","","85.49","34206","","","","185347"
"2020-05-23","","","","","","","85.49","34206","","","",""
"2020-05-24","","","","","","","85.49","34206","","","",""
"2020-05-25","5702","","","","","","85.49","34206","","","",""
"2020-05-26","5689","","","","","","85.49","34206","","","",""
"2020-05-27","5730","","","","","","85.49","34206","","","",""
"2020-05-28","5671","","","","","","85.49","34206","","","",""
"2020-05-29","5670","","","21.45","204695.26","","79.89","34206","","","","196223"
"2020-05-30","","","","","","","77.7","34206","","","",""
"2020-05-31","","","24.88","","","","77.7","34206","1060386","113.86","875749.77",""
"2020-06-01","5794","","","","","","77.16","34206","","","",""
"2020-06-02","5804","","","","","","77.16","34206","","","",""
"2020-06-03","5951","","","","","","78.27","34206","","","",""
"2020-06-04","5811","","","","","","78.27","34206","","","",""
"2020-06-05","5876","","","10.99","186809.21","","82.17","34206","","","","182625"
"2020-06-06","","","","","","","83.28","34206","","","",""
"2020-06-07","","","","","","","83.21","34206","","","",""
"2020-06-08","5904","","","","","","83.92","34206","","","",""
"2020-06-09","5847","","","","","","83.92","34206","","","",""
"2020-06-10","5850","","","","","","83.68","34206","","","",""
"2020-06-11","5780","","","","","","83.68","34206","","","",""
"2020-06-12","5680","","","19.51","199715.26","","83.68","34206","","","","170275"
"2020-06-13","","","","","","","83.68","34206","","","",""
"2020-06-14","","","","","","","83.38","34206","","","",""
"2020-06-15","5666","","","","","","83.88","34206","","","",""
"2020-06-16","5793","","","","","","83.59","34206","","","",""
"2020-06-17","5768","","","","","","84.73","34206","","","",""
"2020-06-18","5799","","","","","","82.98","34206","","","",""
"2020-06-19","5841","","","20.29","200417.08","","84","34206","","","","175359"
"2020-06-20","","","","","","","84","34206","","","",""
"2020-06-21","","","","","","","83.77","34206","","","",""
"2020-06-22","5757","","","","","","83.77","34206","","","",""
"2020-06-23","5773","","","","","","83.77","34206","","","",""
"2020-06-24","5757","","","","","","83.77","34206","","","",""
"2020-06-25","","","","","","","83.77","34206","","","",""
"2020-06-26","","","","20.26","200731.63","","84.54","34206","","","","173350"
"2020-06-27","","","","","","","84.54","34206","","","",""
"2020-06-28","","","","","","","84.89","34206","","","",""
"2020-06-29","5638","","","","","","81","34206","","","",""
"2020-06-30","5660","","38.53","","","","81.06","34206","1026180","116.768001","849502.54",""
"2020-07-01","5660","","","","","","81.06","34206","","","",""
"2020-07-02","5686","","","","","","81.06","34206","","","",""
"2020-07-03","5715","","","28.37","197766.63","","82.29","34206","","","","177254"
"2020-07-04","","","","","","","82.29","34206","","","",""
"2020-07-05","","","","","","","84.19","34206","","","",""
"2020-07-06","5744","","","","","","81.28","34206","","","",""
"2020-07-07","5699","","","","","","82.44","34206","","","",""
"2020-07-08","5714","","","","","","82.08","34206","","","",""
"2020-07-09","5682","","","","","","82.08","34206","","","",""
"2020-07-10","5501","","","18.07","197256.03","","81.35","34206","","","","182892"
"2020-07-11","","","","","","","81.35","34206","","","",""
"2020-07-12","","","","","","","81.35","34206","","","",""
"2020-07-13","5587","","","","","","81.35","34206","","","",""
"2020-07-14","5599","","","","","","82.96","34206","","","",""
"2020-07-15","5668","","","","","","87.8","34206","","","",""
"2020-07-16","5631","","","","","","87.8","34206","","","",""
"2020-07-17","5560","","","16.99","199755.88","","88.82","34206","","","","195236"
"2020-07-18","","","","","","","88.9","34206","","","",""
"2020-07-19","","","","","","","88.9","34206","","","",""
"2020-07-20","5598","","","","","","89.66","34206","","","",""
"2020-07-21","5572","","","","","","89.66","34206","","","",""
"2020-07-22","5592","","","","","","89.48","34206","","","",""
"2020-07-23","5701","","","","","","89.6","34206","","","",""
"2020-07-24","5678","","","29.79","213797.63","","89.6","34206","","","","188661"
"2020-07-25","","","","","","","89.43","34206","","","",""
"2020-07-26","","","","","","","89.43","34206","","","",""
"2020-07-27","5729","","","","","","90.22","34206","","","",""
"2020-07-28","5672","","","","","","90.22","34206","","","",""
"2020-07-29","5694","","","","","","89.34","34206","","","",""
"2020-07-30","5631","","","","","","89.34","34206","","","",""
"2020-07-31","5560","","17.93","30.87","214483.63","","89.56","34206","1060386","118.55856","911558.44","214012"
"2020-08-01","","","","","","","88.91","34206","","","",""
"2020-08-02","","","","","","","88.91","34206","","","",""
"2020-08-03","5520","","","","","","88.91","34206","","","",""
"2020-08-04","5544","","","","","","85.35","34206","","","",""
"2020-08-05","5551","","","","","","84.03","34206","","","",""
"2020-08-06","5570","","","","","","84.03","34206","","","",""
"2020-08-07","5432","","","24.77","208348.63","","82.07","34206","","","","221280"
"2020-08-08","","","","","","","82.13","34206","","","",""
"2020-08-09","","","","","","","84.53","34206","","","",""
"2020-08-10","5433","","","","","","83.71","34206","","","",""
"2020-08-11","5445","","","","","","83.71","34206","","","",""
"2020-08-12","5437","","","","","","83.71","34206","","","",""
"2020-08-13","5444","","","","","","84.24","34206","","","",""
"2020-08-14","5375","","","21.07","199588.63","","84.3","34206","","","","204969"
"2020-08-15","","","","","","","84.3","34206","","","",""
"2020-08-16","","","","","","","84.3","34206","","","",""
"2020-08-17","5323","","","","","","83.97","34206","","","",""
"2020-08-18","5253","","","","","","84.27","34206","","","",""
"2020-08-19","5108","","","","","","84.56","34206","","","",""
"2020-08-20","5158","","","","","","85.29","34206","","","",""
"2020-08-21","5299","","","23.81","201938.63","","84.06","34206","","","","210900"
"2020-08-22","","","","","","","84.06","34206","","","",""
"2020-08-23","","","","","","","84.06","34206","","","",""
