date,close,PVC：产量：中国（日）,PVC：地方企业：产能利用率：中国（周）,PVC：电石法：开工率：中国（周）,PVC：乙烯法：开工率：中国（周）,PVC：表观消费量：中国（月）,PVC：成交量：中国（日）,PVC：看跌比例：中国（周）,PVC：看升比例：中国（周）,PVC：预售量：中国（周）,PVC：社会库存：中国（周）,PVC型材：开工率：中国（周）,PVC管材：开工率：中国（周）,PVC糊树脂：产量：中国（月）,碳化钙：平均开工率：中国企业（周）,碳化钙：产量：中国（周）,碳化钙：检修减损量：中国（周）
"2020-08-02","","6.01","","","","","","","","","","","","","","",""
"2020-08-03","6680","5.89","","","","","0.58","","","","","","","","","",""
"2020-08-04","6700","5.89","","","","","0.34","","","","","","","","","",""
"2020-08-05","6750","5.89","","","","","0.48","","","","","","","","","",""
"2020-08-06","6610","5.89","","","","","0.27","","","","","","","","","",""
"2020-08-07","6580","5.89","78.92","78.71","79.9","","0.76","23","38","40.6","25.3","68","53","","81.38","28.32","3.1"
"2020-08-08","","5.86","","","","","","","","","","","","","","",""
"2020-08-09","","5.86","","","","","","","","","","","","","","",""
"2020-08-10","6485","5.83","","","","","1.11","","","","","","","","","",""
"2020-08-11","6535","5.8","","","","","0.61","","","","","","","","","",""
"2020-08-12","6525","5.77","","","","","0.51","","","","","","","","","",""
"2020-08-13","6525","5.77","","","","","0.38","","","","","","","","","",""
"2020-08-14","6560","5.87","77.18","77.28","77.71","","0.67","15","31","42.16","26","68","50","","84.13","28.64","3.03"
"2020-08-15","","5.89","","","","","","","","","","","","","","",""
"2020-08-16","","5.83","","","","","","","","","","","","","","",""
"2020-08-17","6665","5.77","","","","","0.59","","","","","","","","","",""
"2020-08-18","6675","5.74","","","","","0.5","","","","","","","","","",""
"2020-08-19","6640","5.74","","","","","0.85","","","","","","","","","",""
"2020-08-20","6685","5.74","","","","","0.25","","","","","","","","","",""
"2020-08-21","6615","5.74","77.39","77.27","77.01","","0.25","21","34","44.38","26.7","68","50","","84.92","29.39","3.83"
"2020-08-22","","5.75","","","","","","","","","","","","","","",""
"2020-08-23","","5.75","","","","","","","","","","","","","","",""
"2020-08-24","6625","5.76","","","","","0.59","","","","","","","","","",""
"2020-08-25","6630","5.91","","","","","0.48","","","","","","","","","",""
"2020-08-26","6695","5.87","","","","","0.4","","","","","","","","","",""
"2020-08-27","6650","5.75","","","","","0.48","","","","","","","","","",""
"2020-08-28","6605","5.73","77.26","77.98","74.16","","0","19","32","40.89","26.7","69","50","","85.59","29.74","3.53"
"2020-08-29","","5.84","","","","","","","","","","","","","","",""
"2020-08-30","","5.78","","","","","","","","","","","","","","",""
"2020-08-31","6660","5.74","","","","189.51","0.76","","","","","","","7.4748","","",""
"2020-09-01","6670","5.74","","","","","0.61","","","","","","","","","",""
"2020-09-02","6725","5.65","","","","","0.79","","","","","","","","","",""
"2020-09-03","6685","5.69","","","","","0","","","","","","","","","",""
"2020-09-04","6620","5.67","76.38","76.97","72.5","","0.75","30","23","44.62","26.07","68","60","","80.09","28.36","4.98"
"2020-09-05","","5.62","","","","","","","","","","","","","","",""
"2020-09-06","","5.62","","","","","","","","","","","","","","",""
"2020-09-07","6590","5.52","","","","","0.79","","","","","","","","","",""
"2020-09-08","6555","5.52","","","","","1.01","","","","","","","","","",""
"2020-09-09","6505","5.42","","","","","0.91","","","","","","","","","",""
"2020-09-10","6645","5.52","","","","","0.47","","","","","","","","","",""
"2020-09-11","6635","5.57","73.78","75.33","65.76","","0.43","19","38","45.08","26.42","70","50","","78.86","28.14","5.31"
"2020-09-12","","5.59","","","","","","","","","","","","","","",""
"2020-09-13","","5.63","","","","","","","","","","","","","","",""
"2020-09-14","6550","5.56","","","","","0.91","","","","","","","","","",""
"2020-09-15","6565","5.58","","","","","0.82","","","","","","","","","",""
"2020-09-16","6585","5.62","","","","","0.59","","","","","","","","","",""
"2020-09-17","6670","5.66","","","","","0.5","","","","","","","","","",""
"2020-09-18","6660","5.62","74.33","74.77","72.3","","0.58","7","57","48.69","24.41","70","50","","80.44","28.05","4.6"
"2020-09-19","","5.66","","","","","","","","","","","","","","",""
"2020-09-20","","5.67","","","","","","","","","","","","","","",""
"2020-09-21","6715","5.72","","","","","0.78","","","","","","","","","",""
"2020-09-22","6645","5.75","","","","","0.74","","","","","","","","","",""
"2020-09-23","6650","5.82","","","","","0.81","","","","","","","","","",""
"2020-09-24","6540","5.69","","","","","1.21","","","","","","","","","",""
"2020-09-25","6575","5.71","75.73","75.31","77.66","","0.87","4","48","52.76","26.71","70","50","","81.25","29.4","3.51"
"2020-09-26","","5.73","","","","","","","","","","","","","","",""
"2020-09-27","","5.73","","","","","0.34","","","","","","","","","",""
"2020-09-28","6570","5.73","","","","","0.64","","","","","","","","","",""
"2020-09-29","6595","5.75","","","","","0.32","","","","","","","","","",""
"2020-09-30","6570","5.88","","","","174.1877","0.31","","","","","","","7.7399","","",""
"2020-10-01","","5.88","","","","","","","","","","","","","","",""
"2020-10-02","","5.88","76.91","78.06","67.45","","","10","46","49.62","25","70","58","","78.95","28.88","3.92"
"2020-10-03","","5.85","","","","","","","","","","","","","","",""
"2020-10-04","","5.87","","","","","","","","","","","","","","",""
"2020-10-05","","5.88","","","","","","","","","","","","","","",""
"2020-10-06","","5.88","","","","","","","","","","","","","","",""
"2020-10-07","","5.88","","","","","","","","","","","","","","",""
"2020-10-08","","5.88","","","","","","","","","","","","","","",""
"2020-10-09","6765","5.88","78.08","78.05","78.23","","1.19","10","46","43.45","25.36","70","50","","78.21","28.49","4.21"
"2020-10-10","","5.89","","","","","0.68","","","","","","","","","",""
"2020-10-11","","5.89","","","","","","","","","","","","","","",""
"2020-10-12","6865","5.84","","","","","0.97","","","","","","","","","",""
"2020-10-13","6825","5.84","","","","","0.52","","","","","","","","","",""
"2020-10-14","6875","5.71","","","","","0.52","","","","","","","","","",""
"2020-10-15","6860","5.67","","","","","0.67","","","","","","","","","",""
"2020-10-16","6755","5.69","77.04","76.52","78.22","","0.58","5","53","47.5","24.56","66","30","","82.28","28.53","3.79"
"2020-10-17","","5.78","","","","","","","","","","","","","","",""
"2020-10-18","","5.79","","","","","","","","","","","","","","",""
"2020-10-19","6820","5.69","","","","","0.81","","","","","","","","","",""
"2020-10-20","6795","5.57","","","","","0.7","","","","","","","","","",""
"2020-10-21","6715","5.41","","","","","0.63","","","","","","","","","",""
"2020-10-22","6715","5.37","","","","","0","","","","","","","","","",""
"2020-10-23","6710","5.61","74.36","74.53","73.55","","0.63","15","11","49.07","22.84","65","30","","81.63","28.6","4.1"
"2020-10-24","","5.43","","","","","","","","","","","","","","",""
"2020-10-25","","5.46","","","","","","","","","","","","","","",""
"2020-10-26","6765","5.54","","","","","1.1","","","","","","","","","",""
"2020-10-27","6810","5.39","","","","","1.05","","","","","","","","","",""
"2020-10-28","6885","5.34","","","","","0.63","","","","","","","","","",""
"2020-10-29","6850","5.4","","","","","0.71","","","","","","","","","",""
"2020-10-30","6925","5.61","72.08","72.91","67.87","","0.85","11","31","46.63","20.08","67","55","","79.09","28.02","4.7"
"2020-10-31","","5.61","","","","171.87","","","","","","","","8.6633","","",""
"2020-11-01","","5.69","","","","","","","","","","","","","","",""
"2020-11-02","7085","5.85","","","","","0.91","","","","","","","","","",""
"2020-11-03","7110","5.78","","","","","0.75","","","","","","","","","",""
"2020-11-04","7090","5.75","","","","","0.27","","","","","","","","","",""
"2020-11-05","7065","5.81","","","","","0.4","","","","","","","","","",""
