date,close,澳洲&巴西铁矿石：发货量：19个港口（周）,铁矿：澳大利亚产：发货量合计：19个港口：澳大利亚→中国（周）,铁矿：发货量：FMG→中国（周）,铁矿：发货量：BHP→中国（周）,铁矿：发货量：力拓→中国（周）,铁矿：发货量：巴西：淡水河谷（周）,铁矿：到港量：45个港口（周）,铁矿：船舶到港量：45个港口（周）,铁矿：出口数量合计：中国（月）,铁矿：进口数量合计：中国（月）,烧结用矿粉：出口数量合计：中国（月）,烧结用矿粉：进口数量合计：中国（月）,块矿：出口数量合计：中国（月）,块矿：进口数量合计：中国（月）,已烧结的铁矿砂及其精矿：出口数量合计：中国（月）,已烧结的铁矿砂及其精矿：进口数量合计：中国（月）,铁精粉：出口数量合计：中国（月）,铁精粉：进口数量合计：中国（月）,未烧结的铁矿砂及其精矿：出口数量合计：中国（月）,未烧结的铁矿砂及其精矿：进口数量合计：中国（月）,铁矿：进口数量初值：中国（月）,铁矿：进口数量终值：中国（月）,铁矿：出口数量：巴西→中国（月）,铁矿：出口数量：澳大利亚→中国（月）,铁矿：进口数量：中国→巴西（月）,铁矿：进口数量：中国→澳大利亚（月）,186家矿山企业（363座矿山）：产能利用率（周）,186家矿山企业（363座矿山）：铁精粉：产量（周）,铁矿：采剥掘量合计：重点企业（月）,成品铁矿石：产量：重点企业（月）,铁精矿：产量：重点企业（月）,铁矿：产量：重点企业（月）,统计局：中国：工业产品：产量：原矿（月）,铁矿：进口：日均消耗量：247家钢铁企业（周）,烧结用矿粉：进口：日均消耗量：114家钢铁企业（周）,烧结用矿粉：国产：日均消耗量：114家钢铁企业（周）,铁矿：进口：日均疏港量合计：45个港口（周）,铁矿：成交量合计：中国主要港口（日）,铁矿：现货日均成交量合计：贸易商：中国主要港口（周）,块矿：入炉比：114家钢铁企业（周）,球团：入炉比：114家钢铁企业（周）,烧结矿：进口：配比：114家钢铁企业（周）,烧结矿：入炉比：114家钢铁企业（周）,烧结矿：入炉品位：114家钢铁企业（周）,铁矿：远期现货累计成交量（日）,126家矿山企业（266座矿山）：铁精粉：库存：中国（周）,烧结用矿粉：进口：库存：114家钢铁企业（周）,铁矿：进口：库存消费比：247家钢铁企业（周）,铁矿：进口：库存：247家钢铁企业（周）,烧结用矿粉：国产：库存：64家钢厂（周）,烧结用矿粉：进口：库存消费比：64家钢厂（周）,铁矿：进口：平均可用天数：64家钢厂（周）,铁矿：进口：库存：45个港口（日）,铁精粉：库存：45个港口（周）,球团：进口：库存：45个港口（周）,块矿：库存：45个港口（周）,粗粉：进口：库存：45个港口（周）,铁矿：澳大利亚产：库存：45个港口（周）,铁矿：巴西产：库存：45个港口（周）,贸易矿：进口：库存：45个港口（周）,铁矿：进口：压港量合计：45个港口（周）,铁矿：进口：堆场容积合计：45个港口（周）,中国：铁矿：修正产量（月）
"2016-09-22","408","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-09-23","413.5","","","367.1","406.8","529","640.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","252","","64.15","","","","","","","","","","","67.5","25.15","24","10272","363","191","1347","8371","5679","2005","3168","","",""
"2016-09-26","411.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-09-27","406","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-09-28","413","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-09-29","413.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-09-30","404.5","","","290.5","441.5","433.8","705.31","","","137384.695","92987973.3","0","67593512.196","22","16931867.103","137362.695","1291137.85","0","7171456.151","22","91696835.45","9299","9299","22859050","56092467","","42","","","7839.98","922.22","888.17","2733.11","11892.7","","","","245.3","","67.65","","","","","","","","","","","","","","10648","407","203","1422","8616","5767","2165","3243","","","11892.7"
"2016-10-07","","","","227.5","326.1","483.8","608.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","262","","","","","","","","","","","","","","","","10461","393","192","1383","8493","5603","2170","3172","","",""
"2016-10-10","412.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-10-11","422","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-10-12","428","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-10-13","427","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-10-14","438.5","","","323.1","334.9","469.6","634.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","275.3","","68.85","","","","","","","","","","","59.7","23.63","22","10568","382","185","1408","8593","5674","2231","3198","","",""
"2016-10-17","442","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-10-18","437.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-10-19","436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-10-20","443.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-10-21","444.5","","","282.5","377.6","496.9","532.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","268","","68.5","","","","","","","","","","","","","","10686","398","183","1452","8653","5782","2280","3300","","",""
"2016-10-24","454","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-10-25","471.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-10-26","474","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-10-27","478.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-10-28","494","","","345.4","403.7","551.3","498.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","279.6","","68.5","","","","","","","","","","","50","22.25","21","10829","375","177","1474","8803","5817","2355","3307","","",""
"2016-10-31","502","","","","","","","","","44565.298","80799231.124","0","58416006.45","0","13884301.488","44565.298","986139.485","0","7512783.701","0","79813091.639","8080","8080","17580922","58086688","","4","","","7709.47","909.09","882.67","2815.93","11928.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11928.9"
"2016-11-01","502","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-11-02","491.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-11-03","500.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-11-04","500","","","252.3","333.4","408.2","541.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","280.16","","68.05","","","","","","","","","","","","","","11119","412","173","1580","8954","5889","2463","3396","","",""
"2016-11-07","520","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-11-08","519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-11-09","551.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-11-10","588","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-11-11","614.5","","","196.5","498.1","519.9","542.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","283.9","","70.1","","","","","","","","","","","50.5","24.16","23","10909","400","177","1566","8766","5698","2498","3325","","",""
"2016-11-14","627","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-11-15","591","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-11-16","577","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-11-17","577","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-11-18","551","","","353.4","427.6","569.4","613.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","276.9","","67.35","","","","","","","","","","","","","","11135","421","164","1592","8958","5849","2522","3445","","",""
"2016-11-21","552.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-11-22","580.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-11-23","616.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-11-24","622","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-11-25","653.5","","","317.8","378.5","431.9","790.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","262.5","","69.4","","","","","","","","","","","53.15","26.39","25","11073","417","187","1634","8835","5810","2509","3335","","",""
"2016-11-28","622.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-11-29","577","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-11-30","556","","","","","","","","","28","91977689.828","2","67199046.069","6","15978053.717","0","1217171.68","20","7583418.362","28","90760518.148","9198","9198","18990218","56303365","","0","","","8258.01","931.91","892.67","2846.31","11667.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11667.9"
"2016-12-01","595","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-12-02","574","","","374.8","430.5","518.5","585.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","268.2","","66.32","","","","","","","","","","","","","","11212","469","170","1593","8980","5934","2528","3334","","",""
"2016-12-05","605","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-12-06","604.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-12-07","644.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-12-08","635","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-12-09","618","","","280.7","464.5","592.4","667.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","272.9","","67.67","","","","","","","","","","","58.7","28.32","28","11243","486","165","1651","8941","6028","2527","3433","","",""
"2016-12-12","635.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-12-13","645.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-12-14","605","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-12-15","608.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-12-16","591.5","","","245.5","382.5","506.6","477.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","272.2","","63.39","","","","","","","","","","","","","","11299","491","153","1668","8987","6023","2540","3458","","",""
"2016-12-19","560","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-12-20","568","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-12-21","573","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-12-22","542.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-12-23","548.5","","","285.1","323.3","521.6","807.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","231.9","","62.15","","","","","","","","","","","65.3","32.17","31","11165","559","178","1624","8804","5949","2390","3468","","",""
"2016-12-26","554.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-12-27","560.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-12-28","564.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
