date,close,甲醇：港口库存：中国（周）,甲醇：厂内库存：中国（周）,甲醇：社会库存：中国（周）,甲醇：传统下游厂家：采购量：中国（周）,二氯乙烷：产量：中国（月）,甲醇：采购量：中国（月）,冰醋酸：库存：中国（周）,甲醇：甲醇制烯烃法：生产企业：采购量：中国（月）,甲醇：开工率同比：中国（月）,甲醇：原料：下游厂家：库存：中国（周）,甲醇：甲醇制烯烃法：生产企业：平均开工率：中国（周）,二甲醚：开工率：中国（周）,甲醇：产量同比：中国（日）,甲醇：待发订单：数量：中国（周）,甲醇：产量：中国（日）,甲醇：开工率：中国（日）,甲醇：签约订单：数量：中国（周）,甲醇：甲醇制烯烃法：生产企业：采购量：中国（周）,甲醛：开工率：中国（周）,甲醇：期末库存：中国（月）,三氯甲烷：产量：中国（日）,甲醇：除中国以外的生产企业：开工率：全球（日）,甲醇：到港量：中国（周）,甲醇：表观消费量环比：中国（月）,甲醇：产能同比：中国（日）,甲醇：表观消费量：中国（月）,甲醇：产能：中国（日）,甲醇：表观消费量同比：中国（月）,甲醇：产能：国外（日）,甲醛：产量：中国（月）,二氯甲烷：平均开工率：中国（周）
"2018-08-12","","","","","","","","","","","","","","","","208007.51","75.6756","","","","","","","","","","","274867.3925","","","",""
"2018-08-13","3256","","","","","","","","","","","","","","","206387.51","75.0862","","","","","","","","","","","274867.3925","","","",""
"2018-08-14","3361","","","","","","","","","","","","","","","206387.51","75.0862","","","","","","","","","","","274867.3925","","","",""
"2018-08-15","3338","","","","","","","","","","","","","","","203687.51","74.1039","","","","","","","","","","","274867.3925","","","",""
"2018-08-16","3327","","","","","","","","","","","","","","","202837.51","73.7947","","","","","","","","","","","274867.3925","","","",""
"2018-08-17","3266","438300","128430","566730","","","","","","","","66.75","","","217780","202837.51","73.7947","","178000","","","","","19.89","","","","274867.3925","","","","69.2"
"2018-08-18","","","","","","","","","","","","","","","","203487.51","74.0312","","","","","","","","","","","274867.3925","","","",""
"2018-08-19","","","","","","","","","","","","","","","","203487.51","74.0312","","","","","","","","","","","274867.3925","","","",""
"2018-08-20","3368","","","","","","","","","","","","","","","204527.51","74.4095","","","","","","","","","","","274867.3925","","","",""
"2018-08-21","3337","","","","","","","","","","","","","","","203295.71","73.9614","","","","","","","","","","","274867.3925","","","",""
"2018-08-22","3387","","","","","","","","","","","","","","","203495.71","74.0341","","","","","","","","","","","274867.3925","","","",""
"2018-08-23","3309","","","","","","","","","","","","","","","204495.71","74.398","","","","","","","","","","","274867.3925","","","",""
"2018-08-24","3301","464000","115680","579680","","","","","","","","","","","201430","203995.71","74.216","","154000","","","","","15.34","","","","274867.3925","","","","61.93"
"2018-08-25","","","","","","","","","","","","","","","","204335.71","74.3397","","","","","","","","","","","274867.3925","","","",""
"2018-08-26","","","","","","","","","","","","","","","","206485.71","75.1219","","","","","","","","","","","274867.3925","","","",""
"2018-08-27","3299","","","","","","","","","","","","","","","208735.71","74.9578","","","","","","","","","","","278470.9925","","","",""
"2018-08-28","3298","","","","","","","","","","","","","","","209205.71","75.1266","","","","","","","","","","","278470.9925","","","",""
"2018-08-29","3278","","","","","","","","","","","","","","","208220.71","74.7729","","","","","","","","","","","278470.9925","","","",""
"2018-08-30","3299","","","","","","","","","","","","","","","210950.71","75.7532","","","","","","","","","","","278470.9925","","","",""
"2018-08-31","3262","603600","115780","719380","","24000","","","792185.71","","17800","76","","","203830","211660.71","76.0082","","210000","","697600","","","22.77","3.55","","625.97","278470.9925","36.23","","","70.67"
"2018-09-01","","","","","","","","","","","","","","","","204125.71","73.3023","","","","","","","","","","","278470.9925","","","",""
