date,close,唐山55家调坯轧钢铁企业：螺纹钢：产能利用率（周）,唐山55家调坯轧钢铁企业：螺纹钢：产量（周）,唐山55家调坯轧钢铁企业：螺纹钢生产：需求量：钢坯（周）,唐山55家调坯轧钢铁企业：螺纹钢生产：日均需求量：钢坯（周）,螺纹钢：建筑钢材钢铁企业：产能估算覆盖率：中国（周）,螺纹钢：建筑钢材钢铁企业：产能利用率：中国（周）,螺纹钢：建筑钢材钢铁企业：产能：中国（周）,螺纹钢：建筑钢材钢铁企业：开工率：中国（周）,螺纹钢：建筑钢材钢铁企业：实际产量：中国（周）,螺纹钢：建筑钢材钢铁企业：实际开工条数：中国（周）,螺纹钢：建筑钢材钢铁企业：覆盖产能：中国（周）,螺纹钢：建筑钢材钢铁企业：产线条数：中国（周）,建筑用钢：终端市场：采购量：上海（周）,螺纹钢：消费量：中国（周）,钢筋：表观消费量：中国（月）,螺纹钢：库存：中国（周）,螺纹钢：建筑钢材钢铁企业：厂内库存：中国（周）,螺纹钢：132城市429仓库：社会库存：中国（周）,螺纹钢：社会库存：中国（旬）
"2016-08-22","2553","","","","","","","","","","","","","","","","","","",""
"2016-08-23","2596","","","","","","","","","","","","","","","","","","",""
"2016-08-24","2589","","","","","","","","","","","","","","","","","","",""
"2016-08-25","2567","","","","","","","","","","","","","","","","","","",""
"2016-08-26","2502","","","","","64.56","70.2","456.17","80.3","320.22","245","23786","305","23308","310.69","","684.14","257.88","",""
"2016-08-29","2477","","","","","","","","","","","","","","","","","","",""
"2016-08-30","2422","","","","","","","","","","","","","","","","","","",""
"2016-08-31","2392","","","","","","","","","","","","","","","1744.46","","","",""
"2016-09-01","2402","","","","","","","","","","","","","","","","","","",""
"2016-09-02","2406","","","","","64.56","67.1","456.17","75.1","306.1","229","23786","305","25469","297.07","","693.17","263.21","",""
"2016-09-05","2436","","","","","","","","","","","","","","","","","","",""
"2016-09-06","2428","","","","","","","","","","","","","","","","","","",""
"2016-09-07","2334","","","","","","","","","","","","","","","","","","",""
"2016-09-08","2338","","","","","","","","","","","","","","","","","","",""
"2016-09-09","2343","","","","","64.56","66.8","456.17","75.4","304.58","230","23786","305","22074","291.96","","705.79","265.61","",""
"2016-09-12","2277","","","","","","","","","","","","","","","","","","",""
"2016-09-13","2256","","","","","","","","","","","","","","","","","","",""
"2016-09-14","2250","","","","","","","","","","","","","","","","","","",""
"2016-09-16","","","","","","64.56","72.2","456.17","80.3","329.2","245","23786","305","18926","272.22","","762.77","313.44","",""
"2016-09-19","2239","","","","","","","","","","","","","","","","","","",""
"2016-09-20","2264","","","","","","","","","","","","","","","","","","",""
"2016-09-21","2257","","","","","","","","","","","","","","","","","","",""
"2016-09-22","2280","","","","","","","","","","","","","","","","","","",""
"2016-09-23","2309","","","","","64.56","73.9","456.17","82","336.92","250","23786","305","30160","348.58","","751.11","310.58","",""
"2016-09-26","2316","","","","","","","","","","","","","","","","","","",""
"2016-09-27","2273","","","","","","","","","","","","","","","","","","",""
"2016-09-28","2285","","","","","","","","","","","","","","","","","","",""
"2016-09-29","2273","","","","","","","","","","","","","","","","","","",""
"2016-09-30","2253","","","","","64.56","73.9","456.17","82","336.97","250","23786","305","24450","361.02","1715.81","727.06","305.8","",""
"2016-10-07","","","","","","64.56","72.7","456.17","81.3","331.46","248","23786","305","","291.32","","767.2","320.36","",""
"2016-10-10","2270","","","","","","","","","","","","","","","","","","",""
"2016-10-11","2339","","","","","","","","","","","","","","","","","","",""
