date,close,锌精矿：产量：中国（月）,锌精矿：产能利用率：中国（月）,锌精矿：港口库存：中国（周）,锌精矿：原料：库存天数：中国（周）,电解锌：产量：中国（月）,电解锌：产能利用率：中国（月）,锌锭：产量：中国（月）,有色冶炼企业：锌锭：产能利用率：中国（月）,镀锌管：锌锭消费量：中国（月）,镀锌板（带）：锌锭消费量：中国（月）,锌锭：表观消费量：中国（月）,锌：出口数量合计：中国（月）,锌：进口数量合计：中国（月）,锌锭：现货库存：中国（日）,锌：成品库存：中国（周）,锌：库存：中国（月）,锌：库存预估：中国（月）,镀锌板（带）：库存：中国（月）,镀锌板（带）：库存预估：中国（月）,SHFE：锌：期货库存（日）,SHFE：锌：交割库库存（周）,SHFE：锌：可用库容量（周）,锌合金企业：开工率：中国（月）,锌合金：产量：中国（月）,镀锌板卷：钢铁企业：产量：中国（周）,镀锌板卷：钢铁企业：产能利用率（周）,镀锌板卷：钢铁企业：产线条数（周）,镀锌板卷：钢铁企业：调研样本数（周）,镀锌板卷：钢铁企业：检修产线条数（周）,镀锌板卷：钢铁企业：开工率（周）,镀锌板（带）：产量：中国（月）,镀锌板（带）：产能利用率：中国（月）,镀锌板卷：库存：中国（周）,镀锌板卷：钢铁企业：厂内库存（周）,镀锌管：产量：中国（月）,镀锌管：产能利用率：中国（月）,镀锌管：库存：中国（月）,氧化锌企业：开工率：中国（月）
"2017-01-31","","28.05","","","","48.72","75.77","33.96","71.06","","6.97","46.39","3997.054","26656.898","","","8.6","12.65","52.3","76.91","","","","54","","","","","","","","465.68","63.65","","","","","","47.58"
"2017-02-03","22645","","","","","","","","","","","","","","","","","","","","78541","162063","571459","","","56.45","46.93","266","130","142","46.62","","","153.63","71.55","","","",""
"2017-02-06","22420","","","","","","","","","","","","","","27.93","","","","","","78465","","","","","","","","","","","","","","","","","",""
"2017-02-07","22675","","","","","","","","","","","","","","","","","","","","78465","","","","","","","","","","","","","","","","","",""
"2017-02-08","22945","","","","","","","","","","","","","","","","","","","","80535","","","","","","","","","","","","","","","","","",""
"2017-02-09","22980","","","","","","","","","","","","","","","","","","","","80987","","","","","","","","","","","","","","","","","",""
"2017-02-10","23415","","","9.47","22","","","","","","","","","","","","","","","","84489","191026","565511","","","66","54.87","266","130","122","54.14","","","156.5","67.81","","","",""
"2017-02-13","23955","","","","","","","","","","","","","","29.54","","","","","","85372","","","","","","","","","","","","","","","","","",""
"2017-02-14","23855","","","","","","","","","","","","","","","","","","","","85872","","","","","","","","","","","","","","","","","",""
"2017-02-15","23605","","","","","","","","","","","","","","","","","","","","87452","","","","","","","","","","","","","","","","","",""
"2017-02-16","23340","","","","","","","","","","","","","","","","","","","","87830","","","","","","","","","","","","","","","","","",""
"2017-02-17","23280","","","9.01","20","","","","","","","","","","","","","","","","88055","197456","561945","","","82.34","68.45","266","130","28","89.47","","","156.29","64.17","","","",""
"2017-02-20","23005","","","","","","","","","","","","","","30.13","","","","","","87155","","","","","","","","","","","","","","","","","",""
"2017-02-21","23440","","","","","","","","","","","","","","","","","","","","86705","","","","","","","","","","","","","","","","","",""
"2017-02-22","23170","","","","","","","","","","","","","","","","","","","","83744","","","","","","","","","","","","","","","","","",""
"2017-02-23","22985","","","","","","","","","","","","","","","","","","","","83469","","","","","","","","","","","","","","","","","",""
"2017-02-24","22925","","","7.92","20","","","","","","","","","","","","","","","","83316","197895","566684","","","86.16","71.63","266","130","27","89.85","","","156.01","64.16","","","",""
"2017-02-27","22780","","","","","","","","","","","","","","29.6","","","","","","83491","","","","","","","","","","","","","","","","","",""
"2017-02-28","22860","22.03","","","","47.82","73.02","32.73","68.48","","7.08","44.61","1987.303","22844.42","","","9.34","13.74","64.18","94.38","83335","","","55.8","","","","","","","","486.16","66.45","","","","","","43.4"
"2017-03-01","23290","","","","","","","","","","","","","","","","","","","","83282","","","","","","","","","","","","","","","","","",""
"2017-03-02","23270","","","","","","","","","","","","","","","","","","","","82933","","","","","","","","","","","","","","","","","",""
"2017-03-03","22880","","","7.86","20","","","","","","","","","","","","","","","","82156","199033","567844","","","81.91","68.09","266","130","27","89.85","","","158.66","60.9","","","",""
"2017-03-06","22295","","","","","","","","","","","","","","29.49","","","","","","81954","","","","","","","","","","","","","","","","","",""
"2017-03-07","22210","","","","","","","","","","","","","","","","","","","","82304","","","","","","","","","","","","","","","","","",""
"2017-03-08","22010","","","","","","","","","","","","","","","","","","","","83145","","","","","","","","","","","","","","","","","",""
"2017-03-09","21610","","","","","","","","","","","","","","","","","","","","81993","","","","","","","","","","","","","","","","","",""
"2017-03-10","21950","","","8.43","23","","","","","","","","","","","","","","","","80297","194788","569703","","","82.43","68.53","266","130","25","90.6","","","158.83","62.06","","","",""
"2017-03-13","22550","","","","","","","","","","","","","","28.23","","","","","","80117","","","","","","","","","","","","","","","","","",""
"2017-03-14","22555","","","","","","","","","","","","","","","","","","","","80762","","","","","","","","","","","","","","","","","",""
"2017-03-15","22770","","","","","","","","","","","","","","","","","","","","81334","","","","","","","","","","","","","","","","","",""
"2017-03-16","23360","","","","","","","","","","","","","","","","","","","","80534","","","","","","","","","","","","","","","","","",""
"2017-03-17","23365","","","9.08","23","","","","","","","","","","","","","","","","80058","186298","569942","","","83.44","69.37","266","130","21","92.11","","","161.23","62.39","","","",""
"2017-03-20","23780","","","","","","","","","","","","","","27.28","","","","","","79757","","","","","","","","","","","","","","","","","",""
"2017-03-21","23445","","","","","","","","","","","","","","","","","","","","78481","","","","","","","","","","","","","","","","","",""
"2017-03-22","23255","","","","","","","","","","","","","","","","","","","","78481","","","","","","","","","","","","","","","","","",""
"2017-03-23","23415","","","","","","","","","","","","","","","","","","","","78033","","","","","","","","","","","","","","","","","",""
"2017-03-24","23305","","","9.82","22","","","","","","","","","","","","","","","","79825","184376","570175","","","83.53","69.44","266","130","23","91.35","","","165.29","63.25","","","",""
"2017-03-27","22665","","","","","","","","","","","","","","26.09","","","","","","79502","","","","","","","","","","","","","","","","","",""
"2017-03-28","22570","","","","","","","","","","","","","","","","","","","","79829","","","","","","","","","","","","","","","","","",""
"2017-03-29","23380","","","","","","","","","","","","","","","","","","","","81657","","","","","","","","","","","","","","","","","",""
"2017-03-30","23425","","","","","","","","","","","","","","","","","","","","81485","","","","","","","","","","","","","","","","","",""
"2017-03-31","23380","40.84","","8.21","20","47.78","67.53","30.27","63.34","","6.94","53.95","4615.47","37302.992","","","7.29","10.72","62.32","91.65","81359","183086","568641","58.4","","81.42","67.69","266","130","22","91.73","475.5","64.99","168.04","62.31","","","","58.8"
"2017-04-05","23115","","","","","","","","","","","","","","","","","","","","85099","","","","","","","","","","","","","","","","","",""
"2017-04-06","23090","","","","","","","","","","","","","","","","","","","","84954","","","","","","","","","","","","","","","","","",""
"2017-04-07","22195","","","7.48","19","","","","","","","","","","","","","","","","85307","182244","564693","","","81.11","67.43","266","130","16","93.98","","","168.91","61.75","","","",""
"2017-04-10","22070","","","","","","","","","","","","","","25.3","","","","","","84526","","","","","","","","","","","","","","","","","",""
"2017-04-11","21395","","","","","","","","","","","","","","","","","","","","82526","","","","","","","","","","","","","","","","","",""
"2017-04-12","21275","","","","","","","","","","","","","","","","","","","","78144","","","","","","","","","","","","","","","","","",""
"2017-04-13","21725","","","","","","","","","","","","","","","","","","","","72836","","","","","","","","","","","","","","","","","",""
"2017-04-14","21425","","","8.04","20","","","","","","","","","","","","","","","","70081","165398","579919","","","82.27","68.39","266","130","9","96.62","","","171.49","63.2","","","",""
"2017-04-17","21860","","","","","","","","","","","","","","21.62","","","","","","67925","","","","","","","","","","","","","","","","","",""
"2017-04-18","21400","","","","","","","","","","","","","","","","","","","","64172","","","","","","","","","","","","","","","","","",""
"2017-04-19","21025","","","","","","","","","","","","","","","","","","","","63147","","","","","","","","","","","","","","","","","",""
"2017-04-20","21660","","","","","","","","","","","","","","","","","","","","59366","","","","","","","","","","","","","","","","","",""
"2017-04-21","21860","","","8.47","19","","","","","","","","","","","","","","","","53488","155352","596512","","","84.6","70.33","266","130","14","94.74","","","179.78","70.5","","","",""
"2017-04-24","21525","","","","","","","","","","","","","","18","","","","","","51889","","","","","","","","","","","","","","","","","",""
"2017-04-25","21555","","","","","","","","","","","","","","","","","","","","49162","","","","","","","","","","","","","","","","","",""
"2017-04-26","21645","","","","","","","","","","","","","","","","","","","","48136","","","","","","","","","","","","","","","","","",""
"2017-04-27","21750","","","","","","","","","","","","","","","","","","","","46658","","","","","","","","","","","","","","","","","",""
"2017-04-28","21900","","","9.89","19","","","","","","","","","","","","","","","","44680","115040","605320","","","81.82","68.02","266","130","20","92.48","","","170.96","62.51","","","",""
"2017-04-30","","42.16","","","","46.13","65.42","29.32","61.36","","8.7","58.74","4766.59","58093.482","","","7.64","11.23","62.51","91.93","","","","62.3","","","","","","","","597.06","77.87","","","","","","54.64"
"2017-05-01","","","","","","","","","","","","","","","15.4","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-02","22230","","","","","","","","","","","","","","","","","","","","43145","","","","","","","","","","","","","","","","","",""
"2017-05-03","21895","","","","","","","","","","","","","","","","","","","","42417","","","","","","","","","","","","","","","","","",""
"2017-05-04","21380","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-05","21305","","","11.67","19","","","","","","","","","","","","","","","","40387","119945","609613","","","85.35","70.95","266","130","18","93.23","","","171.38","66.17","","","",""
"2017-05-08","21470","","","","","","","","","","","","","","14.4","","","","","","38483","","","","","","","","","","","","","","","","","",""
"2017-05-09","21865","","","","","","","","","","","","","","","","","","","","37229","","","","","","","","","","","","","","","","","",""
"2017-05-10","21915","","","","","","","","","","","","","","","","","","","","36050","","","","","","","","","","","","","","","","","",""
"2017-05-11","22175","","","","","","","","","","","","","","","","","","","","36050","","","","","","","","","","","","","","","","","",""
"2017-05-12","21895","","","9.27","21","","","","","","","","","","","","","","","","35150","101350","614850","","","85.05","70.71","266","130","22","91.73","","","164.14","60.45","","","",""
"2017-05-15","21600","","","","","","","","","","","","","","13.21","","","","","","37442","","","","","","","","","","","","","","","","","",""
"2017-05-16","21310","","","","","","","","","","","","","","","","","","","","36917","","","","","","","","","","","","","","","","","",""
"2017-05-17","21520","","","","","","","","","","","","","","","","","","","","36643","","","","","","","","","","","","","","","","","",""
"2017-05-18","21330","","","","","","","","","","","","","","","","","","","","35469","","","","","","","","","","","","","","","","","",""
"2017-05-19","21430","","","9.15","21","","","","","","","","","","","","","","","","32435","91749","617565","","","86.3","71.74","266","130","18","93.23","","","159.35","57.7","","","",""
"2017-05-22","22195","","","","","","","","","","","","","","12.49","","","","","","30135","","","","","","","","","","","","","","","","","",""
"2017-05-23","22370","","","","","","","","","","","","","","","","","","","","28182","","","","","","","","","","","","","","","","","",""
"2017-05-24","22385","","","","","","","","","","","","","","","","","","","","25011","","","","","","","","","","","","","","","","","",""
"2017-05-25","22245","","","","","","","","","","","","","","","","","","","","22991","","","","","","","","","","","","","","","","","",""
"2017-05-26","22315","","","8.65","21","","","","","","","","","","","","","","","","21740","78272","628260","","","87.55","72.78","266","130","19","92.86","","","155.66","54.38","","","",""
"2017-05-29","","","","","","","","","","","","","","","11.14","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-31","21875","42.63","","","","46.63","69.37","31.1","65.07","","8.65","56.69","7370.513","46390.778","","","8.16","11.99","68.86","101.26","21188","","","64.3","","","","","","","","576.71","75.21","","","","","","47.37"
"2017-06-01","21805","","","","","","","","","","","","","","","","","","","","21161","","","","","","","","","","","","","","","","","",""
"2017-06-02","21770","","","8.29","22","","","","","","","","","","","","","","","","20087","75001","629913","","","86.57","71.97","266","130","19","92.86","","","153.24","52.74","","","",""
"2017-06-05","21430","","","","","","","","","","","","","","11.79","","","","","","20164","","","","","","","","","","","","","","","","","",""
"2017-06-06","21160","","","","","","","","","","","","","","","","","","","","20312","","","","","","","","","","","","","","","","","",""
"2017-06-07","21115","","","","","","","","","","","","","","","","","","","","20334","","","","","","","","","","","","","","","","","",""
"2017-06-08","21645","","","","","","","","","","","","","","","","","","","","18564","","","","","","","","","","","","","","","","","",""
"2017-06-09","21815","","","7.9","22","","","","","","","","","","","","","","","","18861","68409","631139","","","86.9","72.24","266","130","20","92.48","","","154.82","53.5","","","",""
"2017-06-12","22145","","","","","","","","","","","","","","11.98","","","","","","19716","","","","","","","","","","","","","","","","","",""
"2017-06-13","20720","","","","","","","","","","","","","","","","","","","","25694","","","","","","","","","","","","","","","","","",""
"2017-06-14","21040","","","","","","","","","","","","","","","","","","","","31031","","","","","","","","","","","","","","","","","",""
"2017-06-15","21135","","","","","","","","","","","","","","","","","","","","36251","","","","","","","","","","","","","","","","","",""
"2017-06-16","21140","","","6.51","22","","","","","","","","","","","","","","","","35022","71758","614978","","","86.15","71.62","266","130","17","93.61","","","150.21","49.77","","","",""
"2017-06-19","21260","","","","","","","","","","","","","","12.3","","","","","","34198","","","","","","","","","","","","","","","","","",""
"2017-06-20","21420","","","","","","","","","","","","","","","","","","","","33845","","","","","","","","","","","","","","","","","",""
"2017-06-21","21450","","","","","","","","","","","","","","","","","","","","30724","","","","","","","","","","","","","","","","","",""
"2017-06-22","21990","","","","","","","","","","","","","","","","","","","","28272","","","","","","","","","","","","","","","","","",""
"2017-06-23","22260","","","7.24","29","","","","","","","","","","","","","","","","27746","73368","622254","","","87.02","72.34","266","130","20","92.48","","","147.67","47.87","","","",""
"2017-06-26","22110","","","","","","","","","","","","","","12.39","","","","","","27069","","","","","","","","","","","","","","","","","",""
"2017-06-27","22455","","","","","","","","","","","","","","","","","","","","21285","","","","","","","","","","","","","","","","","",""
"2017-06-28","22580","","","","","","","","","","","","","","","","","","","","19808","","","","","","","","","","","","","","","","","",""
"2017-06-29","22635","","","","","","","","","","","","","","","","","","","","19059","","","","","","","","","","","","","","","","","",""
"2017-06-30","22745","44.96","","10.12","30","51.39","72.88","32.67","68.35","","8.33","57.63","3682.395","55195.002","","","8.22","12.09","61.2","90","18531","64881","631469","62.1","","87.67","72.88","266","130","23","91.35","551.63","71.94","146.5","47.28","","","","46.18"
"2017-07-03","23070","","","","","","","","","","","","","","11.49","","","","","","18057","","","","","","","","","","","","","","","","","",""
"2017-07-04","22940","","","","","","","","","","","","","","","","","","","","17657","","","","","","","","","","","","","","","","","",""
"2017-07-05","22915","","","","","","","","","","","","","","","","","","","","15409","","","","","","","","","","","","","","","","","",""
"2017-07-06","22965","","","","","","","","","","","","","","","","","","","","15580","","","","","","","","","","","","","","","","","",""
"2017-07-07","23080","","","9.63","30","","","","","","","","","","","","","","","","16054","66947","633946","","","86.14","71.61","266","130","22","91.73","","","147.08","48.12","","","",""
"2017-07-10","22800","","","","","","","","","","","","","","11.65","","","","","","17653","","","","","","","","","","","","","","","","","",""
"2017-07-11","22990","","","","","","","","","","","","","","","","","","","","15356","","","","","","","","","","","","","","","","","",""
"2017-07-12","23330","","","","","","","","","","","","","","","","","","","","17129","","","","","","","","","","","","","","","","","",""
"2017-07-13","23325","","","","","","","","","","","","","","","","","","","","20613","","","","","","","","","","","","","","","","","",""
"2017-07-14","22920","","","7.49","30","","","","","","","","","","","","","","","","","77786","624985","","","84.64","70.36","266","130","21","92.11","","","147.97","48.1","","","",""
"2017-07-17","23320","","","","","","","","","","","","","","12.45","","","","","","25015","","","","","","","","","","","","","","","","","",""
"2017-07-18","22980","","","","","","","","","","","","","","","","","","","","32494","","","","","","","","","","","","","","","","","",""
"2017-07-19","23030","","","","","","","","","","","","","","","","","","","","31499","","","","","","","","","","","","","","","","","",""
"2017-07-20","22820","","","","","","","","","","","","","","","","","","","","30900","","","","","","","","","","","","","","","","","",""
"2017-07-21","22840","","","7.12","30","","","","","","","","","","","","","","","","29779","72324","620221","","","86.12","71.59","266","130","20","92.48","","","145.9","48.56","","","",""
"2017-07-24","22955","","","","","","","","","","","","","","11.28","","","","","","29231","","","","","","","","","","","","","","","","","",""
"2017-07-25","23250","","","","","","","","","","","","","","","","","","","","28111","","","","","","","","","","","","","","","","","",""
"2017-07-26","23265","","","","","","","","","","","","","","","","","","","","29577","","","","","","","","","","","","","","","","","",""
"2017-07-27","23335","","","","","","","","","","","","","","","","","","","","29402","","","","","","","","","","","","","","","","","",""
"2017-07-28","23075","","","9.03","30","","","","","","","","","","","","","","","","28981","78320","621019","","","87.28","72.56","266","130","19","92.86","","","147.86","50.27","","","",""
"2017-07-31","23360","43.14","","","","50.56","72.31","32.41","67.82","","8.77","61.19","3303.921","80226.866","11.53","","8.2","12.05","61.15","89.93","28533","","","57.34","","","","","","","","575.81","75.1","","","","","","45.7"
"2017-08-01","22955","","","","","","","","","","","","","","","","","","","","28209","","","","","","","","","","","","","","","","","",""
"2017-08-02","23055","","","","","","","","","","","","","","","","","","","","27854","","","","","","","","","","","","","","","","","",""
"2017-08-03","23390","","","","","","","","","","","","","","","","","","","","27105","","","","","","","","","","","","","","","","","",""
"2017-08-04","23570","","","7.62","32","","","","","","","","","","11.73","","","","","","28093","80672","621907","","","87.43","72.69","266","130","19","92.86","","","146.63","48.39","","","",""
"2017-08-07","23490","","","","","","","","","","","","","","11.73","","","","","","27764","","","","","","","","","","","","","","","","","",""
"2017-08-08","23860","","","","","","","","","","","","","","","","","","","","31314","","","","","","","","","","","","","","","","","",""
"2017-08-09","24730","","","","","","","","","","","","","","","","","","","","33114","","","","","","","","","","","","","","","","","",""
"2017-08-10","24280","","","","","","","","","","","","","","","","","","","","33114","","","","","","","","","","","","","","","","","",""
"2017-08-11","23955","","","8.45","32","","","","","","","","","","11.14","","","","","","33014","72044","616986","","","86.57","71.97","266","130","21","92.11","","","144.78","46.43","","","",""
"2017-08-14","24065","","","","","","","","","","","","","","11.14","","","","","","35531","","","","","","","","","","","","","","","","","",""
"2017-08-15","24260","","","","","","","","","","","","","","","","","","","","37331","","","","","","","","","","","","","","","","","",""
"2017-08-16","24745","","","","","","","","","","","","","","","","","","","","36914","","","","","","","","","","","","","","","","","",""
"2017-08-17","25975","","","","","","","","","","","","","","","","","","","","37523","","","","","","","","","","","","","","","","","",""
"2017-08-18","26150","","","8.07","31","","","","","","","","","","11.08","","","","","","34527","73243","615473","","","87.87","73.05","266","130","19","92.86","","","146.95","47.83","","","",""
"2017-08-21","26400","","","","","","","","","","","","","","10.86","","","","","","33927","","","","","","","","","","","","","","","","","",""
"2017-08-22","26310","","","","","","","","","","","","","","","","","","","","33154","","","","","","","","","","","","","","","","","",""
"2017-08-23","25965","","","","","","","","","","","","","","","","","","","","32283","","","","","","","","","","","","","","","","","",""
"2017-08-24","25930","","","","","","","","","","","","","","","","","","","","30287","","","","","","","","","","","","","","","","","",""
"2017-08-25","26200","","","12.41","31","","","","","","","","","","10.42","","","","","","29913","70410","620087","","","87.29","72.56","266","130","21","92.11","","","150.3","50.31","","","",""
"2017-08-28","25830","","","","","","","","","","","","","","10.42","","","","","","29664","","","","","","","","","","","","","","","","","",""
"2017-08-29","25680","","","","","","","","","","","","","","","","","","","","28292","","","","","","","","","","","","","","","","","",""
"2017-08-30","25900","","","","","","","","","","","","","","","","","","","","24652","","","","","","","","","","","","","","","","","",""
"2017-08-31","25640","44.12","","","","49.56","70.95","31.81","66.55","","8.14","53.52","3709.289","78201.98","","","9.15","13.45","58.2","85.59","24602","","","53.78","","","","","","","","553.38","72.17","","","","","","45.46"
"2017-09-01","26015","","","13.4","30","","","","","","","","","","10.26","","","","","","24778","78222","625222","","","83.72","69.6","266","130","23","91.35","","","148.48","48.58","","","",""
"2017-09-04","26085","","","","","","","","","","","","","","10.28","","","","","","25131","","","","","","","","","","","","","","","","","",""
"2017-09-05","26160","","","","","","","","","","","","","","","","","","","","24957","","","","","","","","","","","","","","","","","",""
"2017-09-06","25200","","","","","","","","","","","","","","","","","","","","24932","","","","","","","","","","","","","","","","","",""
"2017-09-07","24860","","","","","","","","","","","","","","","","","","","","23892","","","","","","","","","","","","","","","","","",""
"2017-09-08","24575","","","14.04","30","","","","","","","","","","9.53","","","","","","23345","74002","626655","","","83.76","69.63","266","130","24","90.98","","","151.15","50.99","","","",""
"2017-09-11","24905","","","","","","","","","","","","","","9.53","","","","","","23120","","","","","","","","","","","","","","","","","",""
"2017-09-12","25150","","","","","","","","","","","","","","","","","","","","21684","","","","","","","","","","","","","","","","","",""
"2017-09-13","24825","","","","","","","","","","","","","","","","","","","","21859","","","","","","","","","","","","","","","","","",""
"2017-09-14","24645","","","","","","","","","","","","","","","","","","","","22184","","","","","","","","","","","","","","","","","",""
"2017-09-15","24620","","","15.81","30","","","","","","","","","","9.34","","","","","","23876","69663","626124","","","84.85","70.54","266","130","20","92.48","","","151.81","52.15","","","",""
"2017-09-18","25165","","","","","","","","","","","","","","9.34","","","","","","23576","","","","","","","","","","","","","","","","","",""
"2017-09-19","25425","","","","","","","","","","","","","","","","","","","","23576","","","","","","","","","","","","","","","","","",""
"2017-09-20","25620","","","","","","","","","","","","","","","","","","","","23576","","","","","","","","","","","","","","","","","",""
"2017-09-21","25205","","","","","","","","","","","","","","","","","","","","22633","","","","","","","","","","","","","","","","","",""
"2017-09-22","24675","","","13.2","30","","","","","","","","","","9.01","","","","","","21206","67225","628794","","","84.64","70.37","266","130","21","92.11","","","154.28","53.14","","","",""
"2017-09-25","25175","","","","","","","","","","","","","","9.01","","","","","","19312","","","","","","","","","","","","","","","","","",""
"2017-09-26","25610","","","","","","","","","","","","","","","","","","","","18862","","","","","","","","","","","","","","","","","",""
"2017-09-27","25890","","","","","","","","","","","","","","","","","","","","18862","","","","","","","","","","","","","","","","","",""
"2017-09-28","25680","","","","","","","","","","","","","","","","","","","","18138","","","","","","","","","","","","","","","","","",""
"2017-09-29","26070","","","12.75","30","","","","","","","","","","8.48","","","","","","17367","64515","632633","","","85.76","71.29","266","130","14","94.74","","","157.11","54.72","","","",""
"2017-09-30","","40.6","","","","52.5","75.7","33.93","71.01","","8.08","64.59","2591.982","90431.208","","","8.96","13.17","63.59","93.51","","","","56.34","","","","","","","","541.11","70.57","","","","","","47.35"
"2017-10-02","","","","","","","","","","","","","","","8.48","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-10-06","","","","","30","","","","","","","","","","","","","","","","","","","","","84.24","70.03","266","130","29","89.1","","","163.88","61.15","","","",""
"2017-10-09","26735","","","","","","","","","","","","","","","","","","","","17367","","","","","","","","","","","","","","","","","",""
"2017-10-10","25885","","","","","","","","","","","","","","","","","","","","17267","","","","","","","","","","","","","","","","","",""
"2017-10-11","26135","","","","","","","","","","","","","","","","","","","","17069","","","","","","","","","","","","","","","","","",""
"2017-10-12","26070","","","","","","","","","","","","","","","","","","","","16969","","","","","","","","","","","","","","","","","",""
"2017-10-13","26275","","","14.55","30","","","","","","","","","","11.47","","","","","","18179","68102","631821","","","83.72","69.6","266","130","22","91.73","","","172.54","63.14","","","",""
"2017-10-16","26285","","","","","","","","","","","","","","11.47","","","","","","25458","","","","","","","","","","","","","","","","","",""
"2017-10-17","25560","","","","","","","","","","","","","","","","","","","","25434","","","","","","","","","","","","","","","","","",""
"2017-10-18","25295","","","","","","","","","","","","","","","","","","","","25334","","","","","","","","","","","","","","","","","",""
"2017-10-19","25195","","","","","","","","","","","","","","","","","","","","24811","","","","","","","","","","","","","","","","","",""
"2017-10-20","25505","","","14.25","30","","","","","","","","","","11.2","","","","","","23155","67788","626845","","","84.37","70.14","266","130","22","91.73","","","170.08","62.2","","","",""
"2017-10-23","25430","","","","","","","","","","","","","","11.2","","","","","","22129","","","","","","","","","","","","","","","","","",""
"2017-10-24","25745","","","","","","","","","","","","","","","","","","","","21254","","","","","","","","","","","","","","","","","",""
"2017-10-25","25615","","","","","","","","","","","","","","","","","","","","20231","","","","","","","","","","","","","","","","","",""
"2017-10-26","26005","","","","","","","","","","","","","","","","","","","","18934","","","","","","","","","","","","","","","","","",""
"2017-10-27","25570","","","13.85","30","","","","","","","","","","12.14","","","","","","18585","71558","631415","","","83.62","69.52","266","130","27","89.85","","","169.14","62.04","","","",""
"2017-10-30","25650","","","","","","","","","","","","","","12.14","","","","","","18133","","","","","","","","","","","","","","","","","",""
"2017-10-31","25970","36.13","","","","55.64","81.76","36.65","76.68","","8","60.27","2325.79","71886.166","","","9.26","13.62","66.07","97.16","18160","","","54.23","","","","","","","","532.13","69.4","","","","","","43.78"
"2017-11-01","25990","","","","","","","","","","","","","","","","","","","","18135","","","","","","","","","","","","","","","","","",""
"2017-11-02","25845","","","","","","","","","","","","","","","","","","","","19618","","","","","","","","","","","","","","","","","",""
"2017-11-03","25935","","","13.18","32","","","","","","","","","","13.01","","","","","","20389","86518","629611","","","83.27","69.22","266","130","29","89.1","","","169.48","62.17","","","",""
"2017-11-06","25995","","","","","","","","","","","","","","13.01","","","","","","20963","","","","","","","","","","","","","","","","","",""
"2017-11-07","25705","","","","","","","","","","","","","","","","","","","","20963","","","","","","","","","","","","","","","","","",""
"2017-11-08","25385","","","","","","","","","","","","","","","","","","","","21564","","","","","","","","","","","","","","","","","",""
"2017-11-09","25495","","","","","","","","","","","","","","","","","","","","21786","","","","","","","","","","","","","","","","","",""
"2017-11-10","25605","","","13.81","32","","","","","","","","","","12.73","","","","","","24515","83845","625485","","","82.82","68.85","266","130","35","86.84","","","168.06","60.52","","","",""
"2017-11-13","25820","","","","","","","","","","","","","","12.73","","","","","","27764","","","","","","","","","","","","","","","","","",""
"2017-11-14","25760","","","","","","","","","","","","","","","","","","","","32862","","","","","","","","","","","","","","","","","",""
"2017-11-15","25010","","","","","","","","","","","","","","","","","","","","39627","","","","","","","","","","","","","","","","","",""
"2017-11-16","25025","","","","","","","","","","","","","","","","","","","","37914","","","","","","","","","","","","","","","","","",""
"2017-11-17","25115","","","14.04","30","","","","","","","","","","11.89","","","","","","35585","84510","614415","","","81.65","67.88","266","130","30","88.72","","","162.81","57.3","","","",""
"2017-11-20","25165","","","","","","","","","","","","","","11.59","","","","","","32597","","","","","","","","","","","","","","","","","",""
"2017-11-21","25160","","","","","","","","","","","","","","","","","","","","31620","","","","","","","","","","","","","","","","","",""
"2017-11-22","25680","","","","","","","","","","","","","","","","","","","","29175","","","","","","","","","","","","","","","","","",""
"2017-11-23","25550","","","","","","","","","","","","","","","","","","","","27200","","","","","","","","","","","","","","","","","",""
"2017-11-24","25585","","","14.74","30","","","","","","","","","","11.86","","","","","","25547","80196","624453","","","81.82","68.01","266","130","27","89.85","","","161.24","56.79","","","",""
"2017-11-27","25020","","","","","","","","","","","","","","11.87","","","","","","22453","","","","","","","","","","","","","","","","","",""
"2017-11-28","24870","","","","","","","","","","","","","","","","","","","","20812","","","","","","","","","","","","","","","","","",""
"2017-11-29","24810","","","","","","","","","","","","","","","","","","","","18795","","","","","","","","","","","","","","","","","",""
"2017-11-30","24960","35.46","","","","56.59","82.94","37.18","77.79","","8.18","66.26","3276.508","135394.479","","","9.82","14.45","64.35","94.63","18443","","","57.8","","","","","","","","524.69","68.43","","","","","","48.2"
"2017-12-01","25185","","","14.3","31","","","","","","","","","","10.65","","","","","","17594","70303","632406","","","81.08","67.41","266","130","28","89.47","","","157.94","54.68","","","",""
"2017-12-04","25555","","","","","","","","","","","","","","10.61","","","","","","17544","","","","","","","","","","","","","","","","","",""
"2017-12-05","25200","","","","","","","","","","","","","","","","","","","","17343","","","","","","","","","","","","","","","","","",""
"2017-12-06","24660","","","","","","","","","","","","","","","","","","","","16942","","","","","","","","","","","","","","","","","",""
"2017-12-07","24495","","","","","","","","","","","","","","","","","","","","15924","","","","","","","","","","","","","","","","","",""
"2017-12-08","24705","","","14.7","31","","","","","","","","","","9.98","","","","","","13950","65772","636050","","","82.17","68.31","266","130","32","87.97","","","153.87","51.67","","","",""
"2017-12-11","24640","","","","","","","","","","","","","","9.85","","","","","","13401","","","","","","","","","","","","","","","","","",""
