date,close,菜粕：产量：中国（周）,主要油厂：菜粕：库存：中国（周）,菜粕：沿海油厂：提货量：中国（月）,菜粕：颗粒：消费量：南通（周）
"2016-10-24","2286","","","",""
"2016-10-25","2259","","","",""
"2016-10-26","2291","","","",""
"2016-10-27","2351","","","",""
"2016-10-28","2340","3.5","1.82","",""
"2016-10-31","2305","","","",""
"2016-11-01","2298","","","",""
"2016-11-02","2196","","","",""
"2016-11-03","2192","","","",""
"2016-11-04","2166","1.24","1.67","",""
"2016-11-07","2210","","","",""
"2016-11-08","2233","","","",""
"2016-11-09","2198","","","",""
"2016-11-10","2325","","","",""
"2016-11-11","2405","1.18","0.61","",""
"2016-11-14","2263","","","",""
"2016-11-15","2247","","","",""
"2016-11-16","2315","","","",""
"2016-11-17","2318","","","",""
"2016-11-18","2295","1.04","0.13","",""
"2016-11-21","2383","","","",""
"2016-11-22","2414","","","",""
"2016-11-23","2412","","","",""
"2016-11-24","2377","","","",""
"2016-11-25","2393","1.95","0.14","",""
"2016-11-28","2469","","","",""
"2016-11-29","2508","","","",""
"2016-11-30","2450","","","",""
"2016-12-01","2456","","","",""
"2016-12-02","2422","3.44","0.2","",""
"2016-12-05","2447","","","",""
"2016-12-06","2446","","","",""
"2016-12-07","2468","","","",""
"2016-12-08","2429","","","",""
"2016-12-09","2388","4.24","1.16","",""
"2016-12-12","2443","","","",""
"2016-12-13","2470","","","",""
"2016-12-14","2418","","","",""
"2016-12-15","2426","","","",""
"2016-12-16","2431","4.15","0.33","",""
"2016-12-19","2429","","","",""
"2016-12-20","2343","","","",""
"2016-12-21","2327","","","",""
"2016-12-22","2306","","","",""
"2016-12-23","2318","3.99","2.55","",""
"2016-12-26","2281","","","",""
"2016-12-27","2320","","","",""
"2016-12-28","2342","","","",""
"2016-12-29","2336","","","",""
"2016-12-30","2308","3.07","2.16","",""
"2017-01-03","2278","","","",""
"2017-01-04","2310","","","",""
"2017-01-05","2301","","","",""
"2017-01-06","2296","3.06","3.7","",""
"2017-01-09","2290","","","",""
"2017-01-10","2291","","","",""
"2017-01-11","2331","","","",""
"2017-01-12","2324","","","",""
"2017-01-13","2386","3.26","3.5","",""
"2017-01-16","2426","","","",""
"2017-01-17","2435","","","",""
"2017-01-18","2446","","","",""
"2017-01-19","2464","","","",""
"2017-01-20","2432","4.98","5.43","",""
"2017-01-23","2432","","","",""
"2017-01-24","2443","","","",""
"2017-01-25","2391","","","",""
"2017-01-26","2414","","","",""
"2017-01-27","","1.15","","",""
"2017-02-03","2405","2.32","6.5","",""
"2017-02-06","2452","","","",""
"2017-02-07","2450","","","",""
"2017-02-08","2493","","","",""
"2017-02-09","2480","","","",""
"2017-02-10","2518","4.04","6.73","",""
"2017-02-13","2506","","","",""
"2017-02-14","2480","","","",""
"2017-02-15","2465","","","",""
"2017-02-16","2478","","","",""
"2017-02-17","2430","5.1","6.3","",""
"2017-02-20","2438","","","",""
"2017-02-21","2467","","","",""
"2017-02-22","2429","","","",""
"2017-02-23","2384","","","",""
"2017-02-24","2394","4.29","11.22","",""
"2017-02-27","2411","","","",""
"2017-02-28","2396","","","",""
"2017-03-01","2426","","","",""
"2017-03-02","2459","","","",""
"2017-03-03","2450","5.43","5.91","",""
"2017-03-06","2488","","","",""
"2017-03-07","2480","","","",""
"2017-03-08","2423","","","",""
"2017-03-09","2421","","","",""
"2017-03-10","2384","6.53","7.88","",""
"2017-03-13","2395","","","",""
"2017-03-14","2358","","","",""
"2017-03-15","2388","","","",""
"2017-03-16","2381","","","",""
"2017-03-17","2370","3.86","7.3","",""
"2017-03-20","2419","","","",""
"2017-03-21","2399","","","",""
"2017-03-22","2407","","","",""
"2017-03-23","2354","","","",""
"2017-03-24","2338","4.53","7.5","",""
"2017-03-27","2341","","","",""
"2017-03-28","2338","","","",""
"2017-03-29","2360","","","",""
"2017-03-30","2339","","","",""
"2017-03-31","2334","2.86","7.5","",""
"2017-04-05","2316","","","",""
"2017-04-06","2319","","","",""
"2017-04-07","2289","4.29","6.8","",""
"2017-04-10","2326","","","",""
"2017-04-11","2332","","","",""
"2017-04-12","2365","","","",""
"2017-04-13","2408","","","",""
